Date,Store,Product_Item,Quantity,Sales,Promotion,Holiday
2024-01-01,Electronic City,Onion,51,1530,No,New Year
2024-01-01,Electronic City,Chicken 1kg,247,64220,No,New Year
2024-01-01,Indiranagar,Eggs Pack,130,11700,No,New Year
2024-01-01,Indiranagar,Detergent,111,23310,No,New Year
2024-01-01,Indiranagar,Juice,148,8880,No,New Year
2024-01-01,Indiranagar,Tomato,286,10010,No,New Year
2024-01-01,Indiranagar,Chicken 1kg,198,51480,No,New Year
2024-01-01,Indiranagar,Banana,75,3750,No,New Year
2024-01-01,Indiranagar,Butter,115,10925,No,New Year
2024-01-01,Indiranagar,Soft Drink,206,9270,Yes,New Year
2024-01-01,Indiranagar,Soap,331,14895,Yes,New Year
2024-01-01,Indiranagar,Onion,255,7650,No,New Year
2024-01-01,Indiranagar,Potato,31,868,No,New Year
2024-01-01,Whitefield,Soap,111,4995,No,New Year
2024-01-01,Whitefield,Maggi,249,4482,No,New Year
2024-01-01,Whitefield,Bread,123,4920,No,New Year
2024-01-01,Whitefield,Baby Wash,186,33480,No,New Year
2024-01-01,Whitefield,Eggs Pack,66,5940,No,New Year
2024-01-01,Whitefield,Onion,366,10980,Yes,New Year
2024-01-01,Whitefield,Chocolate,165,4950,No,New Year
2024-01-01,Whitefield,Apple,187,26180,No,New Year
2024-01-01,Whitefield,Curd,49,1715,No,New Year
2024-01-01,Whitefield,Tomato,67,2345,Yes,New Year
2024-01-01,Whitefield,Face Wash,159,34980,No,New Year
2024-01-01,Marathahalli,Baby Wash,258,46440,Yes,New Year
2024-01-01,Marathahalli,Ice Cream,62,7440,Yes,New Year
2024-01-01,Marathahalli,Potato,83,2324,Yes,New Year
2024-01-01,Marathahalli,Butter,93,8835,No,New Year
2024-01-01,Marathahalli,Coffee,216,60480,No,New Year
2024-01-01,Marathahalli,Soft Drink,111,4995,No,New Year
2024-01-01,Marathahalli,Tea Powder,52,7280,No,New Year
2024-01-01,Marathahalli,Chips,175,3500,No,New Year
2024-01-01,Marathahalli,Face Wash,231,50820,Yes,New Year
2024-01-01,Marathahalli,Apple,204,28560,No,New Year
2024-01-01,Marathahalli,Chicken 1kg,192,49920,No,New Year
2024-01-01,Jayanagar,Toothpaste,51,4845,No,New Year
2024-01-01,Jayanagar,Soap,130,5850,Yes,New Year
2024-01-01,Jayanagar,Juice,335,20100,Yes,New Year
2024-01-01,Jayanagar,Soft Drink,374,16830,Yes,New Year
2024-01-01,Jayanagar,Ice Cream,184,22080,No,New Year
2024-01-01,Jayanagar,Shampoo,321,83460,Yes,New Year
2024-01-01,Jayanagar,Apple,252,35280,No,New Year
2024-01-01,Jayanagar,Bread,347,13880,Yes,New Year
2024-01-01,Jayanagar,Cheese,247,37050,Yes,New Year
2024-01-01,Jayanagar,Butter,129,12255,No,New Year
2024-01-01,Jayanagar,Potato,286,8008,No,New Year
2024-01-01,Jayanagar,Chocolate,121,3630,No,New Year
2024-01-01,Jayanagar,Paneer,181,19910,No,New Year
2024-01-01,Jayanagar,Maggi,286,5148,No,New Year
2024-01-01,Jayanagar,Onion,205,6150,No,New Year
2024-01-01,Jayanagar,Face Wash,57,12540,No,New Year
2024-01-01,Jayanagar,Tea Powder,266,37240,Yes,New Year
2024-01-01,Jayanagar,Coffee,74,20720,Yes,New Year
2024-01-02,BTM-2,Ice Cream,189,22680,No,No
2024-01-02,BTM-2,Curd,70,2450,Yes,No
2024-01-02,BTM-2,Face Wash,49,10780,No,No
2024-01-02,BTM-2,Soft Drink,209,9405,Yes,No
2024-01-02,BTM-2,Cooking Oil,89,16020,No,No
2024-01-02,BTM-2,Eggs Pack,174,15660,No,No
2024-01-02,BTM-2,Baby Wash,107,19260,No,No
2024-01-02,BTM-2,Apple,195,27300,No,No
2024-01-02,BTM-2,Shampoo,149,38740,No,No
2024-01-02,BTM-2,Chips,84,1680,No,No
2024-01-02,BTM-2,Coffee,55,15400,Yes,No
2024-01-02,BTM-2,Butter,90,8550,No,No
2024-01-02,BTM-2,Toothpaste,26,2470,Yes,No
2024-01-02,BTM-2,Potato,53,1484,No,No
2024-01-02,BTM-2,Milk 1L,61,3355,No,No
2024-01-02,BTM-2,Chocolate,161,4830,No,No
2024-01-02,BTM-2,Tea Powder,163,22820,No,No
2024-01-02,BTM-2,Onion,62,1860,Yes,No
2024-01-02,Koramangala,Potato,127,3556,Yes,No
2024-01-02,Koramangala,Soap,30,1350,No,No
2024-01-02,Koramangala,Soft Drink,73,3285,No,No
2024-01-02,Koramangala,Butter,190,18050,No,No
2024-01-02,Koramangala,Bread,143,5720,Yes,No
2024-01-02,Koramangala,Cooking Oil,178,32040,No,No
2024-01-02,Koramangala,Cheese,80,12000,No,No
2024-01-02,Koramangala,Tomato,65,2275,No,No
2024-01-02,Koramangala,Onion,26,780,No,No
2024-01-02,Koramangala,Tea Powder,105,14700,No,No
2024-01-02,Koramangala,Toothpaste,191,18145,No,No
2024-01-02,HSR Layout,Face Wash,77,16940,No,No
2024-01-02,HSR Layout,Chips,244,4880,Yes,No
2024-01-02,HSR Layout,Apple,122,17080,No,No
2024-01-02,HSR Layout,Soap,91,4095,No,No
2024-01-02,HSR Layout,Rice 5kg,118,41300,Yes,No
2024-01-02,HSR Layout,Biscuits,184,4600,No,No
2024-01-02,HSR Layout,Bread,193,7720,No,No
2024-01-02,HSR Layout,Juice,27,1620,No,No
2024-01-02,HSR Layout,Baby Wash,111,19980,Yes,No
2024-01-02,HSR Layout,Ice Cream,168,20160,No,No
2024-01-02,HSR Layout,Coffee,29,8120,No,No
2024-01-02,HSR Layout,Cooking Oil,223,40140,Yes,No
2024-01-02,HSR Layout,Shampoo,108,28080,No,No
2024-01-02,Electronic City,Tea Powder,37,5180,No,No
2024-01-02,Electronic City,Paneer,179,19690,No,No
2024-01-02,Electronic City,Curd,189,6615,No,No
2024-01-02,Electronic City,Rice 5kg,124,43400,Yes,No
2024-01-02,Electronic City,Biscuits,190,4750,No,No
2024-01-02,Electronic City,Cheese,103,15450,No,No
2024-01-02,Electronic City,Ice Cream,198,23760,No,No
2024-01-02,Electronic City,Face Wash,161,35420,No,No
2024-01-02,Electronic City,Bread,69,2760,No,No
2024-01-02,Electronic City,Chicken 1kg,190,49400,No,No
2024-01-02,Electronic City,Milk 1L,193,10615,No,No
2024-01-02,Electronic City,Onion,177,5310,No,No
2024-01-02,Electronic City,Butter,123,11685,No,No
2024-01-02,Electronic City,Detergent,126,26460,Yes,No
2024-01-02,Electronic City,Cooking Oil,73,13140,No,No
2024-01-02,Indiranagar,Apple,43,6020,No,No
2024-01-02,Indiranagar,Cheese,192,28800,No,No
2024-01-02,Indiranagar,Paneer,77,8470,No,No
2024-01-02,Indiranagar,Maggi,57,1026,No,No
2024-01-02,Indiranagar,Chocolate,40,1200,Yes,No
2024-01-02,Indiranagar,Coffee,141,39480,No,No
2024-01-02,Indiranagar,Banana,176,8800,Yes,No
2024-01-02,Indiranagar,Detergent,181,38010,No,No
2024-01-02,Indiranagar,Toothpaste,198,18810,No,No
2024-01-02,Indiranagar,Ice Cream,146,17520,No,No
2024-01-02,Indiranagar,Curd,82,2870,No,No
2024-01-02,Indiranagar,Juice,187,11220,No,No
2024-01-02,Indiranagar,Chips,61,1220,Yes,No
2024-01-02,Indiranagar,Eggs Pack,76,6840,No,No
2024-01-02,Indiranagar,Shampoo,198,51480,No,No
2024-01-02,Indiranagar,Face Wash,32,7040,No,No
2024-01-02,Whitefield,Baby Wash,135,24300,No,No
2024-01-02,Whitefield,Onion,83,2490,No,No
2024-01-02,Whitefield,Rice 5kg,153,53550,No,No
2024-01-02,Whitefield,Coffee,180,50400,No,No
2024-01-02,Whitefield,Soft Drink,90,4050,No,No
2024-01-02,Whitefield,Tomato,39,1365,No,No
2024-01-02,Whitefield,Toothpaste,80,7600,No,No
2024-01-02,Whitefield,Curd,105,3675,No,No
2024-01-02,Whitefield,Butter,158,15010,No,No
2024-01-02,Whitefield,Paneer,71,7810,Yes,No
2024-01-02,Whitefield,Chocolate,79,2370,No,No
2024-01-02,Whitefield,Banana,197,9850,No,No
2024-01-02,Whitefield,Soap,200,9000,No,No
2024-01-02,Whitefield,Tea Powder,36,5040,No,No
2024-01-02,Whitefield,Cheese,124,18600,No,No
2024-01-02,Whitefield,Juice,158,9480,No,No
2024-01-02,Whitefield,Eggs Pack,126,11340,No,No
2024-01-02,Whitefield,Cooking Oil,93,16740,Yes,No
2024-01-02,Marathahalli,Biscuits,89,2225,No,No
2024-01-02,Marathahalli,Potato,144,4032,No,No
2024-01-02,Marathahalli,Banana,154,7700,Yes,No
2024-01-02,Marathahalli,Cheese,191,28650,No,No
2024-01-02,Marathahalli,Soap,62,2790,No,No
2024-01-02,Marathahalli,Milk 1L,52,2860,No,No
2024-01-02,Marathahalli,Tomato,156,5460,Yes,No
2024-01-02,Marathahalli,Chicken 1kg,53,13780,Yes,No
2024-01-02,Marathahalli,Juice,54,3240,No,No
2024-01-02,Marathahalli,Onion,66,1980,No,No
2024-01-02,Marathahalli,Cooking Oil,111,19980,Yes,No
2024-01-02,Marathahalli,Shampoo,103,26780,No,No
2024-01-02,Marathahalli,Apple,136,19040,No,No
2024-01-02,Marathahalli,Tea Powder,106,14840,No,No
2024-01-02,Marathahalli,Baby Wash,91,16380,No,No
2024-01-02,Marathahalli,Toothpaste,84,7980,No,No
2024-01-02,Jayanagar,Juice,107,6420,Yes,No
2024-01-02,Jayanagar,Milk 1L,25,1375,No,No
2024-01-02,Jayanagar,Detergent,81,17010,No,No
2024-01-02,Jayanagar,Butter,141,13395,No,No
2024-01-02,Jayanagar,Bread,213,8520,Yes,No
2024-01-02,Jayanagar,Cooking Oil,139,25020,No,No
2024-01-02,Jayanagar,Baby Wash,114,20520,No,No
2024-01-02,Jayanagar,Maggi,175,3150,No,No
2024-01-02,Jayanagar,Eggs Pack,79,7110,Yes,No
2024-01-02,Jayanagar,Soap,47,2115,No,No
2024-01-02,Jayanagar,Apple,128,17920,Yes,No
2024-01-03,BTM-2,Biscuits,37,925,No,No
2024-01-03,BTM-2,Soap,23,1035,No,No
2024-01-03,BTM-2,Ice Cream,145,17400,No,No
2024-01-03,BTM-2,Eggs Pack,169,15210,Yes,No
2024-01-03,BTM-2,Cheese,182,27300,No,No
2024-01-03,BTM-2,Potato,59,1652,No,No
2024-01-03,BTM-2,Maggi,65,1170,No,No
2024-01-03,BTM-2,Baby Wash,177,31860,No,No
2024-01-03,BTM-2,Rice 5kg,139,48650,No,No
2024-01-03,BTM-2,Shampoo,171,44460,No,No
2024-01-03,BTM-2,Paneer,102,11220,No,No
2024-01-03,BTM-2,Toothpaste,42,3990,No,No
2024-01-03,BTM-2,Bread,135,5400,No,No
2024-01-03,BTM-2,Cooking Oil,138,24840,No,No
2024-01-03,BTM-2,Tea Powder,106,14840,No,No
2024-01-03,BTM-2,Chocolate,189,5670,Yes,No
2024-01-03,Koramangala,Chips,124,2480,No,No
2024-01-03,Koramangala,Juice,162,9720,No,No
2024-01-03,Koramangala,Ice Cream,196,23520,No,No
2024-01-03,Koramangala,Cooking Oil,185,33300,No,No
2024-01-03,Koramangala,Apple,134,18760,No,No
2024-01-03,Koramangala,Face Wash,55,12100,Yes,No
2024-01-03,Koramangala,Chocolate,76,2280,No,No
2024-01-03,Koramangala,Banana,197,9850,No,No
2024-01-03,Koramangala,Paneer,98,10780,No,No
2024-01-03,Koramangala,Soap,141,6345,No,No
2024-01-03,Koramangala,Butter,128,12160,No,No
2024-01-03,Koramangala,Milk 1L,110,6050,No,No
2024-01-03,Koramangala,Curd,89,3115,No,No
2024-01-03,Koramangala,Onion,84,2520,No,No
2024-01-03,Koramangala,Eggs Pack,50,4500,No,No
2024-01-03,HSR Layout,Chocolate,45,1350,No,No
2024-01-03,HSR Layout,Rice 5kg,95,33250,No,No
2024-01-03,HSR Layout,Detergent,112,23520,No,No
2024-01-03,HSR Layout,Butter,97,9215,No,No
2024-01-03,HSR Layout,Banana,202,10100,Yes,No
2024-01-03,HSR Layout,Soap,90,4050,No,No
2024-01-03,HSR Layout,Chips,42,840,Yes,No
2024-01-03,HSR Layout,Ice Cream,198,23760,No,No
2024-01-03,HSR Layout,Apple,183,25620,No,No
2024-01-03,HSR Layout,Juice,46,2760,No,No
2024-01-03,HSR Layout,Face Wash,215,47300,Yes,No
2024-01-03,HSR Layout,Cheese,140,21000,No,No
2024-01-03,HSR Layout,Curd,132,4620,No,No
2024-01-03,Electronic City,Chips,50,1000,No,No
2024-01-03,Electronic City,Bread,175,7000,No,No
2024-01-03,Electronic City,Face Wash,153,33660,No,No
2024-01-03,Electronic City,Juice,135,8100,No,No
2024-01-03,Electronic City,Rice 5kg,96,33600,No,No
2024-01-03,Electronic City,Eggs Pack,98,8820,No,No
2024-01-03,Electronic City,Biscuits,228,5700,Yes,No
2024-01-03,Electronic City,Tomato,94,3290,Yes,No
2024-01-03,Electronic City,Banana,87,4350,No,No
2024-01-03,Electronic City,Cheese,78,11700,Yes,No
2024-01-03,Electronic City,Potato,64,1792,No,No
2024-01-03,Electronic City,Soft Drink,78,3510,Yes,No
2024-01-03,Electronic City,Maggi,161,2898,Yes,No
2024-01-03,Electronic City,Shampoo,196,50960,No,No
2024-01-03,Electronic City,Toothpaste,94,8930,No,No
2024-01-03,Indiranagar,Baby Wash,128,23040,No,No
2024-01-03,Indiranagar,Shampoo,206,53560,Yes,No
2024-01-03,Indiranagar,Soap,185,8325,No,No
2024-01-03,Indiranagar,Potato,88,2464,No,No
2024-01-03,Indiranagar,Onion,38,1140,No,No
2024-01-03,Indiranagar,Coffee,80,22400,Yes,No
2024-01-03,Indiranagar,Eggs Pack,172,15480,No,No
2024-01-03,Indiranagar,Toothpaste,132,12540,No,No
2024-01-03,Indiranagar,Chicken 1kg,180,46800,Yes,No
2024-01-03,Indiranagar,Face Wash,199,43780,No,No
2024-01-03,Whitefield,Face Wash,249,54780,Yes,No
2024-01-03,Whitefield,Curd,167,5845,No,No
2024-01-03,Whitefield,Butter,83,7885,Yes,No
2024-01-03,Whitefield,Juice,152,9120,No,No
2024-01-03,Whitefield,Coffee,91,25480,No,No
2024-01-03,Whitefield,Eggs Pack,169,15210,No,No
2024-01-03,Whitefield,Paneer,182,20020,No,No
2024-01-03,Whitefield,Bread,43,1720,No,No
2024-01-03,Whitefield,Tea Powder,109,15260,No,No
2024-01-03,Whitefield,Chocolate,105,3150,No,No
2024-01-03,Whitefield,Detergent,191,40110,No,No
2024-01-03,Whitefield,Chicken 1kg,79,20540,Yes,No
2024-01-03,Whitefield,Milk 1L,125,6875,No,No
2024-01-03,Whitefield,Banana,93,4650,No,No
2024-01-03,Whitefield,Baby Wash,160,28800,No,No
2024-01-03,Whitefield,Maggi,176,3168,Yes,No
2024-01-03,Marathahalli,Chocolate,33,990,No,No
2024-01-03,Marathahalli,Face Wash,152,33440,No,No
2024-01-03,Marathahalli,Chicken 1kg,179,46540,No,No
2024-01-03,Marathahalli,Rice 5kg,180,63000,No,No
2024-01-03,Marathahalli,Banana,33,1650,No,No
2024-01-03,Marathahalli,Biscuits,88,2200,No,No
2024-01-03,Marathahalli,Curd,93,3255,No,No
2024-01-03,Marathahalli,Milk 1L,198,10890,No,No
2024-01-03,Marathahalli,Toothpaste,51,4845,No,No
2024-01-03,Marathahalli,Butter,235,22325,Yes,No
2024-01-03,Marathahalli,Coffee,60,16800,No,No
2024-01-03,Jayanagar,Butter,126,11970,No,No
2024-01-03,Jayanagar,Milk 1L,140,7700,No,No
2024-01-03,Jayanagar,Chicken 1kg,136,35360,No,No
2024-01-03,Jayanagar,Tea Powder,118,16520,No,No
2024-01-03,Jayanagar,Eggs Pack,173,15570,No,No
2024-01-03,Jayanagar,Baby Wash,37,6660,No,No
2024-01-03,Jayanagar,Rice 5kg,126,44100,No,No
2024-01-03,Jayanagar,Coffee,149,41720,No,No
2024-01-03,Jayanagar,Detergent,20,4200,No,No
2024-01-03,Jayanagar,Maggi,96,1728,No,No
2024-01-03,Jayanagar,Soft Drink,58,2610,No,No
2024-01-03,Jayanagar,Juice,157,9420,No,No
2024-01-03,Jayanagar,Shampoo,108,28080,No,No
2024-01-03,Jayanagar,Curd,161,5635,No,No
2024-01-04,BTM-2,Biscuits,146,3650,No,No
2024-01-04,BTM-2,Coffee,67,18760,Yes,No
2024-01-04,BTM-2,Chocolate,45,1350,No,No
2024-01-04,BTM-2,Ice Cream,45,5400,No,No
2024-01-04,BTM-2,Soap,23,1035,No,No
2024-01-04,BTM-2,Baby Wash,124,22320,No,No
2024-01-04,BTM-2,Cheese,39,5850,No,No
2024-01-04,BTM-2,Chicken 1kg,87,22620,No,No
2024-01-04,BTM-2,Banana,179,8950,No,No
2024-01-04,BTM-2,Tea Powder,186,26040,No,No
2024-01-04,BTM-2,Bread,135,5400,Yes,No
2024-01-04,BTM-2,Onion,101,3030,No,No
2024-01-04,BTM-2,Juice,158,9480,No,No
2024-01-04,BTM-2,Apple,231,32340,Yes,No
2024-01-04,BTM-2,Curd,104,3640,Yes,No
2024-01-04,BTM-2,Detergent,78,16380,No,No
2024-01-04,BTM-2,Butter,170,16150,Yes,No
2024-01-04,BTM-2,Potato,236,6608,Yes,No
2024-01-04,Koramangala,Coffee,57,15960,No,No
2024-01-04,Koramangala,Chips,155,3100,No,No
2024-01-04,Koramangala,Soap,164,7380,No,No
2024-01-04,Koramangala,Shampoo,63,16380,No,No
2024-01-04,Koramangala,Milk 1L,40,2200,No,No
2024-01-04,Koramangala,Bread,178,7120,No,No
2024-01-04,Koramangala,Chocolate,147,4410,No,No
2024-01-04,Koramangala,Banana,79,3950,No,No
2024-01-04,Koramangala,Tomato,183,6405,No,No
2024-01-04,Koramangala,Cooking Oil,137,24660,No,No
2024-01-04,Koramangala,Maggi,190,3420,No,No
2024-01-04,HSR Layout,Potato,183,5124,No,No
2024-01-04,HSR Layout,Apple,196,27440,No,No
2024-01-04,HSR Layout,Coffee,136,38080,No,No
2024-01-04,HSR Layout,Shampoo,70,18200,No,No
2024-01-04,HSR Layout,Toothpaste,143,13585,No,No
2024-01-04,HSR Layout,Butter,104,9880,Yes,No
2024-01-04,HSR Layout,Chips,166,3320,No,No
2024-01-04,HSR Layout,Eggs Pack,167,15030,No,No
2024-01-04,HSR Layout,Onion,199,5970,No,No
2024-01-04,HSR Layout,Cooking Oil,25,4500,No,No
2024-01-04,Electronic City,Face Wash,180,39600,No,No
2024-01-04,Electronic City,Milk 1L,234,12870,Yes,No
2024-01-04,Electronic City,Cheese,128,19200,Yes,No
2024-01-04,Electronic City,Toothpaste,28,2660,No,No
2024-01-04,Electronic City,Banana,53,2650,No,No
2024-01-04,Electronic City,Detergent,123,25830,Yes,No
2024-01-04,Electronic City,Bread,126,5040,No,No
2024-01-04,Electronic City,Paneer,71,7810,No,No
2024-01-04,Electronic City,Juice,158,9480,No,No
2024-01-04,Electronic City,Shampoo,155,40300,No,No
2024-01-04,Electronic City,Baby Wash,62,11160,No,No
2024-01-04,Electronic City,Cooking Oil,143,25740,No,No
2024-01-04,Electronic City,Soap,106,4770,No,No
2024-01-04,Electronic City,Ice Cream,180,21600,Yes,No
2024-01-04,Electronic City,Chicken 1kg,72,18720,Yes,No
2024-01-04,Electronic City,Chocolate,193,5790,No,No
2024-01-04,Indiranagar,Onion,140,4200,No,No
2024-01-04,Indiranagar,Apple,231,32340,Yes,No
2024-01-04,Indiranagar,Butter,176,16720,No,No
2024-01-04,Indiranagar,Cooking Oil,185,33300,No,No
2024-01-04,Indiranagar,Eggs Pack,236,21240,Yes,No
2024-01-04,Indiranagar,Biscuits,199,4975,No,No
2024-01-04,Indiranagar,Milk 1L,186,10230,No,No
2024-01-04,Indiranagar,Face Wash,49,10780,No,No
2024-01-04,Indiranagar,Chicken 1kg,31,8060,No,No
2024-01-04,Indiranagar,Rice 5kg,126,44100,Yes,No
2024-01-04,Indiranagar,Coffee,49,13720,No,No
2024-01-04,Indiranagar,Tomato,104,3640,Yes,No
2024-01-04,Indiranagar,Soap,119,5355,No,No
2024-01-04,Indiranagar,Banana,114,5700,No,No
2024-01-04,Indiranagar,Cheese,170,25500,No,No
2024-01-04,Indiranagar,Bread,126,5040,No,No
2024-01-04,Whitefield,Tomato,112,3920,No,No
2024-01-04,Whitefield,Juice,253,15180,Yes,No
2024-01-04,Whitefield,Paneer,159,17490,No,No
2024-01-04,Whitefield,Tea Powder,35,4900,No,No
2024-01-04,Whitefield,Face Wash,90,19800,No,No
2024-01-04,Whitefield,Bread,51,2040,No,No
2024-01-04,Whitefield,Soap,43,1935,No,No
2024-01-04,Whitefield,Cooking Oil,184,33120,No,No
2024-01-04,Whitefield,Ice Cream,41,4920,Yes,No
2024-01-04,Whitefield,Coffee,82,22960,No,No
2024-01-04,Whitefield,Maggi,164,2952,No,No
2024-01-04,Marathahalli,Eggs Pack,53,4770,No,No
2024-01-04,Marathahalli,Tomato,64,2240,No,No
2024-01-04,Marathahalli,Banana,245,12250,Yes,No
2024-01-04,Marathahalli,Butter,68,6460,Yes,No
2024-01-04,Marathahalli,Ice Cream,144,17280,Yes,No
2024-01-04,Marathahalli,Cheese,170,25500,No,No
2024-01-04,Marathahalli,Apple,24,3360,No,No
2024-01-04,Marathahalli,Baby Wash,87,15660,No,No
2024-01-04,Marathahalli,Chocolate,67,2010,Yes,No
2024-01-04,Marathahalli,Soft Drink,154,6930,No,No
2024-01-04,Marathahalli,Paneer,46,5060,Yes,No
2024-01-04,Marathahalli,Milk 1L,134,7370,No,No
2024-01-04,Marathahalli,Face Wash,151,33220,No,No
2024-01-04,Jayanagar,Coffee,184,51520,Yes,No
2024-01-04,Jayanagar,Curd,129,4515,No,No
2024-01-04,Jayanagar,Baby Wash,188,33840,Yes,No
2024-01-04,Jayanagar,Paneer,38,4180,No,No
2024-01-04,Jayanagar,Bread,132,5280,Yes,No
2024-01-04,Jayanagar,Detergent,36,7560,No,No
2024-01-04,Jayanagar,Toothpaste,90,8550,No,No
2024-01-04,Jayanagar,Potato,117,3276,No,No
2024-01-04,Jayanagar,Shampoo,136,35360,No,No
2024-01-04,Jayanagar,Chicken 1kg,45,11700,No,No
2024-01-04,Jayanagar,Milk 1L,243,13365,Yes,No
2024-01-05,BTM-2,Detergent,195,40950,No,No
2024-01-05,BTM-2,Onion,37,1110,No,No
2024-01-05,BTM-2,Ice Cream,53,6360,Yes,No
2024-01-05,BTM-2,Tea Powder,169,23660,Yes,No
2024-01-05,BTM-2,Coffee,149,41720,Yes,No
2024-01-05,BTM-2,Baby Wash,162,29160,No,No
2024-01-05,BTM-2,Tomato,221,7735,Yes,No
2024-01-05,BTM-2,Chocolate,191,5730,No,No
2024-01-05,BTM-2,Apple,162,22680,Yes,No
2024-01-05,BTM-2,Biscuits,190,4750,No,No
2024-01-05,BTM-2,Chicken 1kg,33,8580,No,No
2024-01-05,BTM-2,Rice 5kg,173,60550,No,No
2024-01-05,BTM-2,Soap,110,4950,No,No
2024-01-05,BTM-2,Paneer,217,23870,Yes,No
2024-01-05,BTM-2,Butter,59,5605,No,No
2024-01-05,BTM-2,Juice,77,4620,No,No
2024-01-05,BTM-2,Soft Drink,141,6345,Yes,No
2024-01-05,BTM-2,Chips,49,980,No,No
2024-01-05,Koramangala,Cheese,89,13350,No,No
2024-01-05,Koramangala,Baby Wash,106,19080,No,No
2024-01-05,Koramangala,Apple,21,2940,No,No
2024-01-05,Koramangala,Tea Powder,56,7840,No,No
2024-01-05,Koramangala,Butter,37,3515,No,No
2024-01-05,Koramangala,Banana,182,9100,No,No
2024-01-05,Koramangala,Paneer,55,6050,Yes,No
2024-01-05,Koramangala,Detergent,116,24360,No,No
2024-01-05,Koramangala,Toothpaste,136,12920,No,No
2024-01-05,Koramangala,Maggi,60,1080,No,No
2024-01-05,Koramangala,Onion,99,2970,No,No
2024-01-05,Koramangala,Milk 1L,165,9075,No,No
2024-01-05,Koramangala,Face Wash,42,9240,Yes,No
2024-01-05,Koramangala,Chicken 1kg,60,15600,No,No
2024-01-05,HSR Layout,Toothpaste,75,7125,No,No
2024-01-05,HSR Layout,Eggs Pack,140,12600,Yes,No
2024-01-05,HSR Layout,Face Wash,48,10560,No,No
2024-01-05,HSR Layout,Coffee,193,54040,No,No
2024-01-05,HSR Layout,Chicken 1kg,154,40040,No,No
2024-01-05,HSR Layout,Tea Powder,31,4340,No,No
2024-01-05,HSR Layout,Juice,121,7260,No,No
2024-01-05,HSR Layout,Paneer,27,2970,Yes,No
